Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Storymaps Kuliner Aceh,,,,"Kuliner Tradisional memiliki potensi besar sebagai penunjang pariwisata. Cita rasa yang khas, visual yang unik dan kualitas bumbu yang dihasilkan membuktikan bahwa Indonesia khususnya Aceh memiliki seni kuliner yang tidak bisa dipisahkan. <br><br>Storymaps ini hadir sebagai langkah awal dalam mendokumentasikan identitas suatu budaya, khususnya masakan Aceh.","7,5",Hidden,,Central Aceh Regency,"4,300470486","96,86768748",,,,
Kota Sabang,,,,"Kota Sabang merupakan pulau dengan destinasi wisata bahari yang sangat terkenal. Tak hanya memanjakan mata, Sabang juga bisa memanjakan lidah wisatawan. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kota Sabang.",12,Hidden,,Kota Sabang,"5,84804864","95,3213011",,,,
Mie Jalak,media/sabang/miejalak.PNG,Screenshot of linked Google Maps,https://goo.gl/maps/d3WxxX6UShhxWos17,"Mie Jalak merupakan mie yang termasuk kategori mie kocok. Nama mie jalak sendiri diberi oleh pembuat pertamanya bernama Pak Jalak yang sudah ada sejak 1970-an. Mie Jalak memiliki warna kekuningan dengan kuah bening ditaburi potongan daging ikan dan telur rebus. Rahasia masakan ini terletak di kaldunya yang menggunakan kaldu ikan. Masakan istimewa ini dikelola secara turun-temurun oleh warga Tionghoa di Sabang. Makanan populer ini menyajikan porsi yang banyak dan mengenyangkan. <br><br>Adapun bahan yang perlu dipersiapkan ialah, mie kuning, telur rebus, potongan daging ikan matang, tauge, daun bawang dan seledri. <br>Serta bahan bumbu halus untuk kaldu ikan ialah, ikan pisang-pisang, kemiri, lada, pala, kayu manis, kencur, lengkuas, sereh, merica, dan air. <br><br>Adapun cara pembuatannya adalah sebagai berikut: Rebus mie kuning hingga matang, dan tiriskan. Giling semua bumbu alu, tumis hingga harum lalu masukan air. Masukan ikan pisang-pisang dan rebus hingga mengeluarkan kaldu, tiriskan. Susun mie kedalam mangkuk, lalu tambahkan tauge, irisan seledri dan daun bawang, taburan daging ikan dan telur rebus. Kemudian siram dengan kaldu. Sajikan mie ketika panas dan hangat. <br><br>Mie Jalak ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/UiSanwrxMFjqtreXA' target='_blank'>Warung Kopi Pulau Baru</a> di Jl. Perdagangan No.91-12, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,red,"Jl. Perdagangan No.91-12, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,89138108","95,3206078",,,,
Mie Sedap,media/sabang/miesedap.png,Source: Dapur Rakyat id (2019),https://ensiklopedikuliner.pmb.brin.go.id/ensiklopedi/detail/11565,"Nama yang sama namun bukan dari merek mie instan, mie sedap merupakan mie yang terbuat dari tepung terigu dan telur tanpa bahan pengawet dan biasanya dijual sekali habis. Mie ini diolah langsung dari resep turun-temurun tanpa bantuan mesin. Mie ini juga merupakan resep turun-temurun warga Tionghoa yang sudah ada sejak 1970-an. Masakan ini memiliki rasa gurih dan manis. Mie ini hadir dalam dua versi, digoreng atau berkuah. <br><br>Adapun bahan yang perlu dipersiapkan ialah, 50 kg tepung terigu, telur, kecap asin, kecap manis dan air secukupnya. <br>Serta bahan bumbu halusnya ialah, merica, pala, bacang putih, cabe rawit, gula pasir dan air secukupnya. <br><br>Adapun cara pengolahannya ialah sebagai berikut: campurkan tepung dan telur. Beri air sedikit demi sedikit, uleni sampai rata. Letakkan diatas tampah bambu, kemudian simpan di ras khusus. Aduk adonan dan potong setipis mungkin. Rebus mie sebentar sebelum diolah menjadi mie goreng ataupun berkuah. Jika digoreng, giling semua bumbu, tumis hingga harum. Masukan kecap asin dan manis, lalu masukan mie yang sudah direbus, aduk hingga tercampur rata dan matang. Sajikan dengan taburan daun bawang dan potongan ikan pisang-pisang matang. Jika berkuah, langsung saja disiram dengan kuah kaldu ikan, namun mie tidak digoreng sebelumnya. <br><br>Mie Sedap ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/CFKapUUnLwLJw32X9' target='_blank'>Kedai Mie Sedap</a> di Jl. Perdagangan No. 51, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,red,"Jl. Perdagangan No. 51, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,89075666","95,3213907",,,,
Mie Pingsun,media/sabang/miepingsun.png,Source: Dapur Rakyat id (2019),https://ensiklopedikuliner.pmb.brin.go.id/ensiklopedi/detail/11567,"Menjadi primadona di Kota Sabang, membuat mie pingsun menjadi incaran bagi wisatawan. Mie Pingsun ditaburi beragam potongan seafood seperti cumi-cumi, udang, gurita, ikan serta dilengkapi berbagai sayuran. Mie pingsun bisa disajikan dalam bentuk berkuah ataupun goreng. Mie ini sering mendapat sebutan Mie Bang Mandra karena penjualnya mirip dengan artis Mandra. <br><br>Adapun bahan yang perlu dipersiapkan ialah, mie kuning, beragam seafood, telur, sawi, tauge dan tomat iris. <br>Serta bahan bumbu halusnya ialah, bawang merah, bawang putih, cabe rawit, gula pasir, garam, jeruk nipis dan air secukupnya. <br><br>Adapun cara pengolahannya ialah sebagai berikut: Goreng telur kemudian pecah-pecahkan. Giling semua bumbu halus, tumis bersama telur hingga harum. Masukan beragam seafood yang sudah dibersihkan. Masukan mie kuning, potongan sayuran yang sudah dibersihkan dan potongan tomat. Aduk rata sampai semuanya matang. Sajikan dengan kerupuk melinjo. <br><br>Mie Pingsun ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/dYYKQ76reHxRivJm7' target='_blank'>Kedai Mie Sedap</a> di Jl. Perdagangan No. 51, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,red,"Jl. Perdagangan No. 51, Desa Kuta Barat, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,89065223","95,3213784",,,,
Sate Gurita,media/sabang/sategurita.png,Screenshot of linked Google Maps,https://goo.gl/maps/sYPZdRXPPvd5ETiS8,"Sate Gurita di Sabang lebih terkenal dari sate jenis lainnya. Ciri khas sate gurita adalah dagingnya yang kenyal, lembut serta bumbu yang meresap sampai kedalam. Sate gurita biasanya dinikmati dengan lontong dan sambal-sambal bumbu padang atau bumbu kacang. Bumbu Kacang atau yang sering disebut juga bumbu jawa terdiri dari kacang tanah, kecap, bawang merah dan bawang putih, garam, cabe rawit. Sedangkan satu lagi bumbu Padang yang terdiri dari racikan bawang putih, bawang merah, cabai merah, jahe, kunyit, sereh, dan bumbu-bumbu lainnya yang dimasak bersama kaldu sapi, kemudian dikentalkan dengan tepung beras. <br><br>Adapun cara pengolahannya ialah sebagai berikut: Potong kecil-kecil daging gurita yang telah dibersihkan lalu ditusuk seperti halnya sate-sate lainnya. Daging gurita dilumuri kecap lalu dibakar di atas bara api sedang agar matangnya merata hingga meresap ke dalam daging. Potong lontong sesuai selera, siapkan sate gurita lalu siram dengan bumbu kacang ataupun padang sesuai selera. <br><br>Sate Gurita ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/dviJvWfs6heyNG497' target='_blank'>Sate Gurita Iboih</a> di Desa Iboih, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,red,"Desa Iboih, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,87230612","95,2572746",,,,
Bakpia AG,media/sabang/bakpiaAG.png,Source: Diskominfo dan Persandian Aceh (2019),https://kutaateuh.gampong.id/artikel/detail/kue-kacang-hijau-ag-sabang,"Memiliki rasa yang gurih dan empuk membuat Bakpia AG Sabang menjadi kue dengan rasa yang tidak bisa dilupakan. Kue ini memiliki varian rasa seperti, pandan, durian, original, dan kopi. Panganan ini merupakan panganan modern yang cocok dijadikan buah tangan. Kue ini terbuat dari campuran kacang hijau dan gula yang dipanggang. Dengan isiannya yang cukup banyak membuat kulit bagian luar kue cenderung mengering. Sekarang, kue AG khas Sabang ini sudah melebarkan produknya dan sangat mudah ditemukan dibeberapa daerah Aceh, untuk meningkatnya konsumen lokal maupun wisatawan. <br><br>Adapun bahan yang diperlukan ialah, tepung terigu, gula tepung, margarin, mentega putih, daun pandan, kacang hijau, garam, santan dan gula pasir. <br><br>Adapun cara pengolahannya ialah sebagai berikut: Kukus kacang hijau selama 15 menit sampai mekar sebagai isiannya. Angkat. Masak santan, garam, daun pandan, gula pasir, dan kacang hijau. Aduk sampai kalis. Sisihkan. Kemudian bentuk bulat-bulat pada adonan. Untuk kulit pertama, campur semua bahan dan uleni hingga kalis. Bagi menjadi 20 bagian lalu sisihkan. Untuk kulit kedua, aduk hingga tercampur rata. Bagi menjadi 20 bagian. Lalu bungkus dalam adonan. Giling memanjang, lalu lipat menjadi 3. Ulangi proses tersebut 2 kali lagi. Pipihkan. Masukkan isiannya sesuai selera, kemudian bentuk bulat kembali adonan tersebut. Selanjutnya letakkan di atas loyang yang sudah dioles margarin. Panggang adonan dengan suhu 180ºC selama 15 menit sampai setengah matang. Balikkan adonan dan panggang kembali dengan suhu 180ºC selama 5 menit saja. Bungkus adonan apabila sudah dingin, lalu siap dipasarkan. <br><br>Bakpia AG ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/KzCyK6EQcE4Fwr3q9' target='_blank'>Toko Kue AG</a> di Jl. Sultan Hasanuddin, Desa Kuta Ateueh, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,purple,"Jl. Sultan Hasanuddin, Desa Kuta Ateueh, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,8965679","95,3168829",,,,
Rujak 0 Kilometer,media/sabang/rujaknolkm.png,Source: Dapur Rakyat id (2019),https://ensiklopedikuliner.pmb.brin.go.id/ensiklopedi/detail/11618,"Rujak 0 Kilometer merupakan rujak yang khas dari Pulau Weh. Sama seperti namanya, rujak ini bisa ditemukan di salah satu tempat seperti di Tugu 0 Kilometer. Cukup berbeda dengan rujak pada umumnya, keunikan dari rujak ini ada pada sambal rujaknya yakni, buah rumbia yang terkenal dengan rasa sepatnya. Cita rasa buah rumbia yang asam dan sepat membuat saus sambal rujak menjadi segar dan unik. <br><br>Adapun bahan yang perlu disediakan ialah, kacang tanah, buah rumbia, kedondong, nenas, mangga, pepaya, bengkoang dan jambu air. <br>Sementara untuk bumbunya disediakan cabe rawit, gula merah, gula pasir, garam dan air secukupnya. <br><br>Adapun proses pengolahannya ialah sebagai berikut: Haluskan kacang tanah dan cabe rawit. Kemudian tambahkan buah rumbia yang digerus halus dengan gula aren, kacang tanah dan cabe. Tambahkan sedikit garam dan gula. Setelah halus, potong buah-buahan diatas cobek. Aduk dan siram dengan bumbu yang sudah dihaluskan. Sajikan. <br><br>Rujak 0 Kilometer ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/GqrZryyssMLEwWm27' target='_blank'>Waroeng Kak Eti</a> di Desa Iboih, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.",16,Plain,purple,"Desa Iboih, Kecamatan Sukakarya, Kota Sabang, Aceh, Indonesia.","5,90566202","95,2166475",,,,
Aceh Besar,,,,"Kabupaten Aceh Besar atau sering disebut Aceh Rayeuk yang memiliki budaya serta makanan tradisional yang amat beragam. Nasi merupakan makanan pokoknya, sedangkan lauk pauknya berbeda dengan daerah lain. Lauk pauk di Aceh Besar lebih spesifik dan bercita rasa yang sama dengan olahan masakan India. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kabuoaten Aceh Besar.",10,Hidden,,Aceh Besar,"5,49439851","95,4803021",,,,
Sie Reboh,media/acehbesar/siereuboh.png,Source: Adi Warsidi (2022),https://kumparan.com/acehkini/mengenal-sie-reuboh-kuliner-khas-aceh-besar-yang-tahan-lama-1yTtLLvkJ9y/full,"Menjelang hari raya Idulfitri ataupun Iduladha bagi masyarakat Aceh dikenal dengan tradisi meugang. Meugang dalam arti kata adalah hari penyembelihan hewan ternak berupa sapi ataupun kerbau. Di Kabupaten Aceh Besar dan sekitarnya pada saat meugang sering mengolah daging tersebut menjadi menu masakan khas Aceh berupa sie reuboh yang berarti daging yang direbus. Daging yang akan dijadikan sie reuboh biasanya berupa daging lamur atau daging yang terdapat di bawah ketiak. Di Aceh, memasak sie reuboh biasanya menggunakan belanga besar atau kuali tanah liat (tembikar). Sie reuboh cuka, begitulah masyarakat Aceh mengatakannya. Penamaan tersebut karena proses pembuatannya banyak ditambahkan cuka. Sie reuboh ini diolah secara tradisional dengan menambahkan beberapa bumbu rempah-rempah. <br><br>Adapun bahan utamanya adalah, 1 kg daging sapi yang sudah dibersihkan dan potong-potong, ¼ kg lemak daging sapi, 30 ml cuka aren (enau), 5 buah cabe merah, garam, 2 cm lengkuas dan air secukupnya. <br>Serta untuk bumbu halusnya menggunakan 10 buah cabe merah, ½ ons cabe rawit, 10 buah cabe merah kering, 10 buah bawang merah, 5 batang kunyit dan jahe. <br><br>Adapun cara pembuatannya adalah sebagai berikut: <br>1. Masukan potongan daging yang sudah bersihkan kedalam kuali panas, lalu beri garam sambil diaduk. <br>2. Masukan semua bumbu halus dan aduk merata, kemudian beri irisan lengkuas, serta tambahkan air mendidih secukupnya. <br>3. Saat air sudah mulai menyusut, beri cuka dan tambahkan air lagi hingga permukaan daging terendam. <br>4. Tutup kuali dan masak kembali daging hingga airnya menyusut dan daging empuk. <br>5. Setelah itu beri garam untuk penambah rasa. Setelah air susut, aduk kembali dan taburi dengan cabe merah yang bertujuan untuk mempertahankan cita rasa pedas. <br>6. Masak sebentar dan matikan api, sie reuboh siap dinikmati dengan nasi hangat. <br><br>Sie Reuboh ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/wKHzhqEN8hNeMqYC8' target='_blank'>RM. Cut Bit</a> di Desa Cot Mancang, Kecamatan Kuta Baro, Kabupaten Aceh Besar, Aceh, Indonesia.",16,Plain,red,"Desa Cot Mancang, Kecamatan Kuta Baro, Kabupaten Aceh Besar, Aceh, Indonesia.","5,52452991","95,4180538",,,,
